/m/02qdvvw,181,2
/m/05rwpb,181,1
/m/025sf8x,181,2
/m/01brf,181,1
,181,1
/m/029j_,"104,181","2,2"
/m/01vq3,"15,72,181","1,2,3"
/m/01m1y,181,3
/m/0883b,181,1
/m/0bbm8t,181,2
/m/025sh_8,181,1
/m/01qx__8,181,12
/m/03_3d,"40,39,21,41,42,21,41,181","2,1,1,2,1,1,2,2"
/m/03rt9,181,16
/m/01jj81_,181,3
/m/0np46rm,181,2
/m/01ft8k,181,1
/m/01vd7hn,181,1
/m/0gkzzz7,181,3
/m/01jcrq,181,1
/m/06q1r,181,2
/m/01pqj_,181,12
/m/0j5g9,181,1
/m/01q1j,181,1
/m/09nyf,181,1
/m/0f8l9c,"38,28,181","4,4,1"
/m/0hvl5,181,1
/m/03cb8,181,1
/m/06mkj,"34,25,181","3,3,3"
/m/059g4,181,3
/m/0ch490p,181,1
/m/0830n,181,2
/m/02vk6kk,181,2
/m/0f33w3b,181,1
/m/0bs_h4,181,1
/m/041rx,181,2
/m/0b2mc,181,1
/m/0430_,181,1
/m/06n8j,181,1
/m/015lz1,181,1
/m/04p7x,181,5
/m/0jzc,181,1
/m/035qy,181,1
/m/03hkp,181,4
/m/03spz,"75,181","1,6"
/m/04m7bz,181,1
/m/013b7g,181,2
/m/015fr,"32,31,41,181","1,1,1,1"
/m/04swx,181,1
/m/01jjk,181,2
/m/09wwlj,181,2
/m/01qsf5,181,1
/m/04y29,181,1
/m/04t_mf,181,1
/m/010sh,181,1
/m/0ds99lh,181,1
/m/04rrd,"105,181","1,5"
/m/010n45,181,1
/m/081mh,181,2
/m/02f6qp,181,1
/m/035qrr,181,2
/m/0b3wk,181,3
/m/01cx_,"75,181","1,4"
/m/0hqjh,181,1
/m/01_d4,"176,113,75,105,176,113,75,108,106,181","1,1,1,2,1,1,1,1,3,2"
/m/02fdsx,181,1
/m/06c1y,181,1
/m/0fvwg,181,1
/m/03_d0,181,1
/m/0ydpd,181,1
/m/045c0g,181,4
/m/01w_2mh,181,1
/m/01r27_,181,1
/m/07b_l,"80,15,68,105,181","2,9,1,1,1"
/m/0h51x2y,181,11
/m/05jbn,181,3
/m/09zc4z,181,1
/m/0hjy,181,3
/m/04r_8,181,1
/m/0bxbb,181,3
/m/0chghy,"18,181","3,1"
/m/01p1v,181,1
/m/0cng8,181,1
/m/01lryt,181,1
/m/05wc2d,181,3
/m/0bmnm,181,1
/m/03_fd74,181,1
