kId,text,idf
0,apartment,-0.8266785731844679
1,ratings,0.0
2,the,-1.6916760106710724
3,leading,1.252762968495368
4,source,0.8472978603872037
5,of,-1.455287232606842
6,reviews,0.3364722366212129
7,by,0.3364722366212129
8,renters,-0.25131442828090605
9,for,-0.6190392084062235
10,rentersgoogleadclient,1.252762968495368
11,googleadchannel,0.5596157879354227
12,adborder,0.5596157879354227
13,adtitle,0.5596157879354227
14,adbg,0.5596157879354227
15,adtext,0.0
16,adurl,0.5596157879354227
17,googleadtype,0.5596157879354227
18,nulladheadlinefont,0.5596157879354227
19,adheadlinesize,0.5596157879354227
20,adheadlinedecoration,0.5596157879354227
21,adbodyfont,0.5596157879354227
22,adbodysize,0.5596157879354227
23,adurlfont,0.5596157879354227
24,adurlsize,0.5596157879354227
25,nulladurldecoration,0.5596157879354227
26,nulladdimensions,0.5596157879354227
27,550x90var,0.5596157879354227
28,ordmathrandom10000000000000000var,0.5596157879354227
29,aptcountry,0.5596157879354227
30,usdivmaincontainer,0.5596157879354227
31,divgooglev,0.0
32,divcustomstackedads,0.0
33,divblockads160x600,0.0
34,topautodivmaincontainer,0.5596157879354227
35,divafctextad,0.5596157879354227
36,height,0.5596157879354227
37,auto,0.5596157879354227
38,start,0.5596157879354227
39,afs,0.5596157879354227
40,html,0.0
41,divmaincontainer,-1.6650077635889111
42,adheader,0.5596157879354227
43,textalignright,0.5596157879354227
44,paddingright0px,0.5596157879354227
45,paddingtop5px,0.5596157879354227
46,fontsize12pxhtml,0.0
47,googleh,0.5596157879354227
48,width770px,0.5596157879354227
49,minwidth770pxhtml,0.5596157879354227
50,afstarget,-0.9985288301111273
51,afsresults,-1.3862943611198906
52,border1px,0.5596157879354227
53,solid,0.3364722366212129
54,b3b3b3,0.5596157879354227
55,paddingbottom5px,0.5596157879354227
56,backgroundurlreviewimagesbgsiderightlongjpg,0.5596157879354227
57,top,0.3364722366212129
58,left,0.5596157879354227
59,norepeat,0.5596157879354227
60,backgroundcolortransparent,0.5596157879354227
61,backgroundimagenone,-0.35667494393873245
62,searchresults,-1.2729656758128873
63,result,-1.2729656758128873
64,border,0.5596157879354227
65,0px,-1.580450375560848
66,fontsize16px,0.5596157879354227
67,margin0,0.5596157879354227
68,padding3px,0.5596157879354227
69,3px,0.15415067982725836
70,widthauto,0.5596157879354227
71,textalignlefthtml,0.5596157879354227
72,googlev,-0.35667494393873245
73,paddingtop10pxpaddingbottom10pxhtml,0.5596157879354227
74,a,-1.4213856809311607
75,textdecorationunderlinehtml,0.5596157879354227
76,paddingleft,0.5596157879354227
77,0html,0.5596157879354227
78,afsadtext,0.0
79,colorblack,0.5596157879354227
80,afsadtexthtml,0.5596157879354227
81,span,0.5596157879354227
82,displayinlinehtml,0.5596157879354227
83,afsadvisibleurl,0.5596157879354227
84,fontsize10pxhtml,0.5596157879354227
85,afsadfix,0.5596157879354227
86,margin,0.5596157879354227
87,10px,0.5596157879354227
88,20px,0.5596157879354227
89,positionrelativehtml,0.5596157879354227
90,divnopaddingpadding,0.5596157879354227
91,important,0.5596157879354227
92,var,-1.5198257537444133
93,gaq,-0.45198512374305727
94,gaqpushsetaccount,0.15415067982725836
95,ua911431,0.5596157879354227
96,gaqpushtrackpageview,0.15415067982725836
97,function,-0.13353139262452263
98,ga,0.15415067982725836
99,documentcreateelementscript,0.15415067982725836
100,gatype,0.15415067982725836
101,textjavascript,0.15415067982725836
102,gaasync,0.15415067982725836
103,true,0.15415067982725836
104,gasrc,0.15415067982725836
105,https,-0.25131442828090605
106,documentlocationprotocol,-0.25131442828090605
107,httpsssl,0.15415067982725836
108,httpwww,0.15415067982725836
109,googleanalyticscomgajs,0.15415067982725836
110,s,-0.45198512374305727
111,documentgetelementsbytagnamescript0,0.15415067982725836
112,sparentnodeinsertbeforega,0.15415067982725836
113,to,-0.9444616088408514
114,access,1.252762968495368
115,your,-0.13353139262452263
116,account,0.8472978603872037
117,please,-0.25131442828090605
118,loginim,1.252762968495368
119,returning,1.252762968495368
120,userusernamepasswordyour,1.252762968495368
121,password,1.252762968495368
122,is,-0.35667494393873245
123,casesensitiveforgot,1.252762968495368
124,username,1.252762968495368
125,and,-0.9985288301111273
126,passwordremember,1.252762968495368
127,meif,1.252762968495368
128,you,-0.13353139262452263
129,dont,-0.13353139262452263
130,have,0.5596157879354227
131,an,0.0
132,nationwidealexandria,0.5596157879354227
133,apartmentsarlington,0.5596157879354227
134,apartmentsatlanta,0.5596157879354227
135,apartmentsaustin,0.5596157879354227
136,apartmentsbaltimore,0.5596157879354227
137,apartmentsbirmingham,0.5596157879354227
138,apartmentsboston,0.5596157879354227
139,apartmentscharlotte,0.5596157879354227
140,apartmentschicago,0.5596157879354227
141,apartmentscincinnati,0.5596157879354227
142,apartmentscleveland,0.5596157879354227
143,apartmentscolorado,0.5596157879354227
144,springs,0.5596157879354227
145,apartmentsdallas,0.5596157879354227
146,apartmentsdenver,0.5596157879354227
147,apartmentsdetroit,0.5596157879354227
148,apartmentsfort,0.0
149,lauderdale,0.5596157879354227
150,worth,0.5596157879354227
151,apartmentsgalveston,0.5596157879354227
152,apartmentsgrand,0.5596157879354227
153,rapids,0.5596157879354227
154,apartmentshouston,0.5596157879354227
155,apartmentsindianapolis,0.5596157879354227
156,apartmentsirving,0.5596157879354227
157,apartmentskansas,0.5596157879354227
158,city,-0.13353139262452263
159,apartmentslas,0.5596157879354227
160,vegas,0.5596157879354227
161,apartmentslos,0.5596157879354227
162,angeles,0.5596157879354227
163,apartmentsmemphis,0.5596157879354227
